N,D,Q,L,C_train,C_Q,C_attn,C_total,C,form,s_train,s_Q,s_attn
0.048319919501763765,1.5210390707326304,0.4,4.165638645971062,4.4097891274102957e+17,0.0,6.020832088624191e+16,5.011872336272715e+17,5.011872336272715e+17,exp,0.8798686062881276,0.0,0.12013139371187237
0.05128369377695708,1.6080045514576726,0.4,4.125404627330631,4.94786478053451e+17,0.0,6.755484713689785e+16,5.6234132519034886e+17,5.6234132519034906e+17,exp,0.8798686062881276,0.0,0.12013139371187237
0.05442858213076554,1.6999633206846694,0.4,4.085838795823603,5.5515955931504666e+17,0.0,7.579778516514771e+16,6.309573444801943e+17,6.309573444801943e+17,exp,0.8798686062881277,0.0,0.12013139371187238
0.057765614617917634,1.797203159566196,0.4,4.046929919502799,6.228992706336288e+17,0.0,8.504651375051146e+16,7.079457843841403e+17,7.079457843841403e+17,exp,0.8798686062881276,0.0,0.12013139371187236
0.06130646676310312,1.9000292403160504,0.4,4.008666955510448,6.9890447682216e+17,0.0,9.542375790211893e+16,7.943282347242789e+17,7.943282347242789e+17,exp,0.8798686062881277,0.0,0.12013139371187238
0.06506353465212109,2.0087640103927225,0.4,3.971039046893594,7.841837207887237e+17,0.0,1.0706721734502042e+17,8.912509381337441e+17,8.912509381337441e+17,exp,0.8798686062881277,0.0,0.12013139371187237
0.0690499464106699,2.123749189355311,0.4,3.9340355194731296,8.798686062881272e+17,0.0,1.2013139371187232e+17,9.999999999999995e+17,1e+18,exp,0.8798686062881277,0.0,0.12013139371187238
0.07429415654456122,2.1910375845230132,0.4080687146570269,3.897595425472908,9.766877357974202e+17,1.1980286310337284e+16,1.3335043219420778e+17,1.1220184543019652e+18,1.1220184543019653e+18,exp,0.8704738607931731,0.010677441413198957,0.11884869779362792
0.08134399530531859,2.1914931313513417,0.42747990931049823,3.8612767164450537,1.0695888419296888e+18,4.330203997968227e+16,1.460345298848002e+17,1.2589254117941714e+18,1.2589254117941714e+18,exp,0.8496046166907955,0.034396032977021165,0.11599935033218328
0.08875021296031747,2.205977112258234,0.4460922906897569,3.8250383998912403,1.1746856309910267e+18,7.746816881374835e+16,1.6038374481797485e+17,1.4125375446227497e+18,1.4125375446227497e+18,exp,0.8316137404367211,0.05484326353565207,0.11354299602762699
0.09656437155056609,2.231700189070466,0.4640789995737559,3.788940373256333,1.2930163574812142e+18,1.1533700163846133e+17,1.7653983334143517e+17,1.5848931924611108e+18,1.5848931924611108e+18,exp,0.8158381672858006,0.07277272827411138,0.11138910444008801
0.10483400010284051,2.2668453790655745,0.4815627413578095,3.753029775964884,1.4258548122125038e+18,1.5774788746567178e+17,1.946767103607472e+17,1.7782794100389228e+18,1.7782794100389228e+18,exp,0.8018170846286158,0.08870815608342393,0.10947475928796034
0.11360513759078793,2.3101858448682497,0.49863413213907704,3.717344330588977,1.574693884599289e+18,2.0557022532563763e+17,2.1499820504395632e+17,1.995262314968883e+18,1.995262314968883e+18,exp,0.7892164718320995,0.10302917254709118,0.10775435562080934
0.12292390070738096,2.360872717618613,0.5153623397710975,3.681914566950424,1.7412461011398904e+18,2.5973690308615654e+17,2.377381343422997e+17,2.2387211385683466e+18,2.238721138568347e+18,exp,0.7777860632760231,0.11602021288469062,0.10619372383928635
0.1328374104279092,2.4183124204336015,0.5318014843146537,3.6467653735420194,1.927454157216293e+18,3.212705333613479e+17,2.631617409319312e+17,2.511886431509572e+18,2.511886431509572e+18,exp,0.7673333209009565,0.12790010301869956,0.10476657608034393
0.14339463709429792,2.482086844221578,0.5479950163231385,3.6119171206091694,2.1355076535821064e+18,3.913072993799327e+17,2.9156797830241024e+17,2.818382931264449e+18,2.818382931264449e+18,exp,0.7577067083017086,0.13884106912483152,0.10345222257345994
0.1546468870952193,2.5519058227748785,0.5639782729646621,3.577386497979995,2.367865749913796e+18,4.7111930653301946e+17,3.2329260372156365e+17,3.1622776601683794e+18,3.1622776601683794e+18,exp,0.7487848963230244,0.14898100583233861,0.10223409784463694
0.16664829963525257,2.627573047742862,0.5797805536155967,3.5431871558084658,2.6272834834425974e+18,5.621386372871335e+17,3.587117716060294e+17,3.5481338923357604e+18,3.5481338923357604e+18,exp,0.740469092532762,0.15843219403343142,0.10109871343380647
0.17945633628389013,2.708962362227069,0.5954264979527933,3.5093302048825037,2.916842763937334e+18,6.659826762280737e+17,3.982462653695773e+17,3.981071705534985e+18,3.9810717055349857e+18,exp,0.7326777761581067,0.16728728480377308,0.10003493903812015
0.19313215149686846,2.796002473610906,0.6109370077900074,3.4758246142066542,3.239987839914243e+18,7.844817418524147e+17,4.4236633974295795e+17,4.466835921509616e+18,4.4668359215096166e+18,exp,0.7253429265920414,0.17562358583059182,0.09903348757736671
