N0,D0,Q0,eps_N,eps_D,eps_Q,r_QN,r_QD
1.0,250,0.55,-0.06062530033988459,-0.031195571890043756,-0.1440672293327078,2.3763548968008634,4.618194846387403
1.0,250,0.6,-0.05988410824173216,-0.03142203056396796,-0.14526305521284855,2.425736300964357,4.622968427108066
1.0,250,0.65,-0.059131243231689806,-0.031652055698539114,-0.14649794160886645,2.47750484519417,4.628386320438201
1.0,250,0.7,-0.05836630605526548,-0.03188576927797795,-0.1477793437764289,2.5319290146013462,4.634648845637021
1.0,300,0.5,-0.06169447209080837,-0.029528726458257937,-0.1436955067281257,2.3291471967961677,4.866295433744998
1.0,300,0.55,-0.0609629861350229,-0.029742516597421265,-0.1448696906255648,2.376354896800863,4.870794646816312
1.0,300,0.6,-0.060220100547236026,-0.029959638487237764,-0.14607808394515398,2.425736300964357,4.875829326424632
1.0,300,0.65,-0.05946545386859726,-0.030180197771190968,-0.1473259500811201,2.47750484519417,4.881543560385566
1.0,300,0.7,-0.05869864295874901,-0.030404312273246942,-0.14862079722498162,2.531929014601346,4.888148624751317
1.0,350,0.5,-0.06197031483409538,-0.02835489784207385,-0.1443379850804092,2.329147196796167,5.090407515636899
1.0,350,0.55,-0.0612375406547027,-0.028561113932599854,-0.14552212960102773,2.376354896771192,5.095113935137094
1.0,350,0.6,-0.06049329820792038,-0.028770557403722533,-0.14674078942618426,2.425736300934101,5.100380481582117
1.0,350,0.65,-0.059737223080951835,-0.028983330808396053,-0.14799925962150315,2.4775048451941695,5.106357878599305
1.0,350,0.7,-0.058968908963071116,-0.029199548488776077,-0.14930509156298513,2.531929014601346,5.113267132208433
1.0,400,0.5,-0.062201307026586244,-0.027371927464112468,-0.1448759998980311,2.329147196796167,5.292868033790425
1.0,400,0.55,-0.061467467757657636,-0.02757174215890556,-0.1460685179998589,2.3763548968008634,5.297761641539194
1.0,400,0.6,-0.060722102824254984,-0.027774695139058232,-0.14729580909168563,2.425736300964357,5.303237654067012
