param,value,rss,r2,lr_stat
b,0.30000000000000004,2.099826185560372,0.9779158299042258,-0.11007439866194813
b,0.31,2.529180978021646,0.9734002445984733,-0.5394291911232221
b,0.32,3.2434167707101422,0.9658885253701441,-1.2536649838117182
b,0.33,4.204791829887087,0.9557776073909816,-2.2150400429886634
b,0.33999999999999997,5.379706343817757,0.9434208646510036,-3.3899545569193332
b,0.35,6.738261589196428,0.9291327462677945,-4.748509802298004
b,0.36,8.253866109954739,0.9131929183598866,-6.264114323056315
b,0.37,9.902883843646258,0.8958499647515272,-7.913132056747834
b,0.38,11.664319682742885,0.877324693969164,-9.674567895844461
b,0.39,13.519538449435501,0.8578130948233621,-11.529786662537077
b,0.4,15.45201369968666,0.8374889782722432,-13.462261912788236
b,0.41000000000000003,17.447103161356406,0.8165063391705961,-15.457351374457982
b,0.42000000000000004,19.491847957562925,0.7950014678662966,-17.5020961706645
b,0.43000000000000005,21.57479307478706,0.7730948383627387,-19.585041287888636
b,0.44000000000000006,23.685826809803164,0.7508927968782565,-21.69607502290474
b,0.45000000000000007,25.816037174053747,0.7284890720617014,-23.826285387155323
b,0.45999999999999996,27.957583451909382,0.7059661258324568,-25.96783166501096
b,0.47,30.103581303317263,0.6833963617721948,-28.11382951641884
b,0.48,32.247999974263635,0.660843206177035,-30.25824818736521
b,0.49,34.38557033258951,0.6383620752579271,-32.395818545691085
b,0.5,36.51170258407049,0.6160012405323199,-34.52195079717207
