C,form,N,D,Q,L,C_train,C_Q,C_attn,C_total,s_train,s_Q,s_attn
8.91250938133744e+19,exp,0.8470479045918692,10.693844862804447,0.9311010189166335,2.7525336044286726,5.434919329841418e+19,2.735542398995005e+19,7.420476525010151e+18,8.912509381337439e+19,0.6098079785724543,0.30693290541978663,0.0832591160077591
1e+20,exp,0.8942576973616752,11.305240803040435,0.9425233288347517,2.7304497452560947,6.065879165187717e+19,3.1059261327919854e+19,8.281947020202964e+18,9.999999999999998e+19,0.6065879165187718,0.31059261327919857,0.08281947020202965
1.1220184543019654e+20,exp,0.9440492490322534,11.95022221893854,0.9540219090982768,2.7087213116513866,6.768958986934487e+19,3.5270370224023785e+19,9.241885336827886e+18,1.1220184543019654e+20,0.6032841047294198,0.3143475055048567,0.08236838976572346
1.2589254117941713e+20,exp,0.9966226491884476,12.628530562183458,0.9656526695447594,2.6873414287953055,7.551527750544332e+19,4.006691111856395e+19,1.0310352555409863e+19,1.2589254117941713e+20,0.5998391707561284,0.31826278779663486,0.08189804144723674
1.4125375446227496e+20,exp,1.0522925344366738,13.336530366871488,0.9775524263198155,2.6663018375351557,8.420358804208117e+19,4.555356986618155e+19,1.1496596554012148e+19,1.4125375446227486e+20,0.5961157518441021,0.32249457750411653,0.08138967065178139
1.5848931924611108e+20,exp,1.111981095824172,14.051748907811339,0.990308346217694,2.6455896549674445,9.3751674892525e+19,5.193741567492666e+19,1.2800228678659412e+19,1.5848931924611108e+20,0.5915330783075807,0.32770293873415746,0.08076398295826169
1.778279410038923e+20,exp,1.1707298997832607,14.934115329295134,0.9999999999999998,2.6251740537689168,1.0490289205690409e+20,5.860230741815222e+19,1.4322741528835971e+19,1.778279410038923e+20,0.5899123133557959,0.32954499212735944,0.08054269451684466
1.995262314968883e+20,exp,1.2192727800433425,16.30313251560522,0.9999999999999999,2.6052363758260495,1.1926779423430194e+20,6.397440775646298e+19,1.628402950612336e+19,1.995262314968883e+20,0.5977549585311642,0.3206315644640474,0.0816134770047883
2.238721138568347e+20,exp,1.2702232192511507,17.78744506535762,0.9999999999999999,2.5858013637758837,1.355641543990293e+20,6.979893357719113e+19,1.8509025880614134e+19,2.2387211385683457e+20,0.6055428345386603,0.31178038378566125,0.08267678167567842
2.5118864315095718e+20,exp,1.323717871385161,19.3956785065464,1.0,2.566853157716753,1.5404643760053908e+20,7.610973193669108e+19,2.103247361372694e+19,2.511886431509571e+20,0.6132699140699671,0.3029983003290134,0.08373178560101953
2.818382931264449e+20,exp,1.3799008630720897,21.137011491595306,1.0,2.5483764336061263,1.7500188240010225e+20,8.294282038264868e+19,2.3893590343693963e+19,2.8183829312644488e+20,0.6209301101663599,0.29429223212559313,0.08477765770804702
3.1622776601683794e+20,exp,1.4389253465988983,23.021193394980127,0.9999999999999999,2.530356386442932,1.9875467210995227e+20,9.03364560081402e+19,2.713663789874548e+19,3.1622776601683794e+20,0.6285174594673932,0.2856689567333253,0.08581358379928142
3.54813389233576e+20,exp,1.5009535738779969,25.058577488825254,1.0,2.51277871398717,2.256705686289059e+20,9.833126563453687e+19,3.081155497013329e+19,3.54813389233576e+20,0.6360260787124509,0.27713516067400923,0.08683876061353998
3.9810717055349857e+20,exp,1.5661578864819918,27.26014583119844,1.0,2.4956296009941155,2.5616215428108373e+20,1.0697034347457087e+20,3.4974672797843972e+19,3.9810717055349857e+20,0.6434502396049158,0.26869735434769304,0.08785240604739118
4.466835921509617e+20,exp,1.6347205903484372,29.63754921850202,1.0,2.4788957039410358,2.906946717297029e+20,1.162994079077633e+20,3.968951251349544e+19,4.466835921509616e+20,0.6507843064704724,0.2603619428860925,0.08885375064343518
5.0118723362727146e+20,exp,1.7068351302801088,32.2031337197371,1.0,2.462564136224956,3.297926396277315e+20,1.2636690560236705e+20,4.502768839717293e+19,5.0118723362727146e+20,0.658022825603326,0.25213512460763315,0.08984204978904077
5.6234132519034906e+20,exp,1.7827063720173808,34.96998038658974,1.0,2.44662245381072,3.740472411869781e+20,1.3722416733997552e+20,5.106991666339541e+19,5.62341325190349e+20,0.6651605073846661,0.24402291134041412,0.09081658127491976
6.309573444801943e+20,exp,1.8625520235922246,37.95193126865339,1.0,2.4310586413092428,4.241246783019804e+20,1.489255101007169e+20,5.790715607749705e+19,6.309573444801943e+20,0.6721923153955673,0.23603102714242463,0.09177665746200811
7.079457843841402e+20,exp,1.9466020223757161,41.16364805699629,1.0,2.4158610984666256,4.8077544333666714e+20,1.6152846718390655e+20,6.564187386356629e+19,7.0794578438414e+20,0.67911336424569,0.22816502442263184,0.09272161133167821
7.943282347242789e+20,exp,2.035100443668707,44.6206366465096,0.9999999999999999,2.401018627045564,5.4484486461655115e+20,1.750938845920808e+20,7.438948551564647e+19,7.943282347242784e+20,0.6859190455513317,0.2204301407627266,0.09365081368594183
8.91250938133744e+20,exp,2.1283063949762124,48.33928788011416,1.0,2.386520418081279,6.172848931430585e+20,1.8968608091355342e+20,8.427996407713227e+19,8.91250938133744e+20,0.6926050416683283,0.21283128330922274,0.09456367502244911
1e+21,exp,2.2264934358910544,52.33694889473617,1.0,2.3723560394950742,6.991672390121739e+20,2.0537312728803046e+20,9.545963369979548e+19,9.999999999999999e+20,0.6991672390121739,0.20537312728803048,0.0954596336997955
1.1220184543019653e+21,exp,2.329952393284532,56.6319390819612,1.0,2.35851542404947,7.91698332002156e+20,2.2222691003711468e+20,1.0809321226269435e+20,1.122018454301965e+21,0.7056018811158421,0.19805994204914165,0.09633817683501629
1.2589254117941712e+21,exp,2.438990740936179,61.24363080077861,0.9999999999999997,2.3449888576298124,8.962358907864769e+20,2.4032344738564705e+20,1.22366073622047e+20,1.258925411794171e+21,0.711905473024964,0.1908956997246942,0.09719882725034178
1.4125375446227498e+21,exp,2.553934508556709,66.1924889246011,1.0,2.331766967838186,1.0143076900307791e+21,2.5974304464643506e+20,1.3848680994553571e+20,1.4125375446227498e+21,0.7180748532257052,0.1838839934805452,0.09804115329374963
1.584893192461111e+21,exp,2.6751287151732654,71.50014338023966,1.0,2.318840712886416,1.1476325201729087e+21,2.8057057886726115e+20,1.5669009342094118e+20,1.584893192461111e+21,0.7241071673674114,0.17702806738135798,0.0988647652512306
1.7782794100389228e+21,exp,2.802939503901263,77.18943142389011,1.0,2.306201370775955,1.2981438397301947e+21,3.028956647242322e+20,1.772399055844959e+20,1.7782794100389228e+21,0.7299999271215658,0.1703307494954364,0.09966932338299776
1.995262314968883e+21,exp,2.937753809466223,83.28449910446314,1.0,2.293840528753417,1.468016127081737e+21,3.2681305266958454e+20,2.0043313521755983e+20,1.9952623149688813e+21,0.7357509416523174,0.16379452978075296,0.10045452856692973
2.238721138568347e+21,exp,3.0799813477275695,89.81085982585874,1.0,2.2817500730315214,1.6596946385221216e+21,3.524228587333383e+20,2.26603641312887e+20,2.2387211385683467e+21,0.7413583630087531,0.15742150849511846,0.10122012849612844
2.5118864315095717e+21,exp,3.2300567386630363,96.79545257506535,1.0,2.269922178766216,1.8759288231721692e+21,3.79830793013629e+20,2.561268153237735e+20,2.5118864315095717e+21,0.7468207159528266,0.15121336229574742,0.10196592175142594
2.818382931264449e+21,exp,3.3884396513473365,104.26675535837144,1.0,2.2583493002816764,2.119809649041829e+21,4.0914860480677426e+20,2.8942467741584438e+20,2.818382931264448e+21,0.7521368461065691,0.14517140317168065,0.10269175072175023
3.1622776601683794e+21,exp,3.5556166143439354,112.25486779508356,1.0,2.2470241615358666,2.394811637839086e+21,4.404944067096623e+20,3.269716156196299e+20,3.1622776601683784e+21,0.7573059342649792,0.139296562176709,0.10339750355831183
3.5481338923357606e+21,exp,3.732103233814096,120.79158901225719,1.0,2.235939746820204,2.7048400798211296e+21,4.7399298028305154e+20,3.693008322315783e+20,3.5481338923357595e+21,0.7623275112767844,0.13358937251689193,0.10408311620632364
3.9810717055349854e+21,exp,3.91844488161604,129.91054540926874,0.9999999999999999,2.2250892916877674,3.054283870361383e+21,5.09776277406927e+20,4.1701155776667425e+20,3.9810717055349844e+21,0.7672014211939301,0.128050011432392,0.10474856737367794
