Q_topsis,Q_pca_ae,Q_mlp_ae,conflict
0.34295180015801363,0.7021689656935028,0.8246244210776356,0.15512132962976588
0.38482252453238197,0.3130483252901457,0.6264770083558042,0.15099621253699352
0.6363658212842463,0.11688432587524133,0.2874216683462938,0.10770199343338765
0.43832690101521726,0.8356456885529457,0.8840498179117721,0.21812121853207495
0.4320651369431545,0.9639912904509492,0.9851882974541268,0.2662773602917023
0.37526179123476605,0.7657211250893124,0.7147785639999542,0.2344927562531952
0.380764714991373,0.7511609681591351,0.7200163141935586,0.29349921744137564
0.6778984144958469,0.5212248585271149,0.3283981786119192,0.2607285859478692
0.5977005300905232,0.49907204912660863,0.4726269345004409,0.30446279905756146
0.5269473719661795,0.6894902565475672,0.7461502215128355,0.3011998348038842
0.3790613682094446,0.7351631527337934,0.8758427089926394,0.22719712894408017
0.44628502601577075,0.9195968892378243,0.8692331420740425,0.26897119793529384
0.36963666015850105,0.8988237434173919,0.9361842561515418,0.2560507322774449
0.5040211135431281,0.9405235418442378,0.8646011786847773,0.21255816304877678
0.6916438811252981,0.4741279585636776,0.3987307030935371,0.19678831807632097
0.37088491913667126,0.5125523907032871,0.8726804040185647,0.20111687252825494
0.37077639228277837,0.5828260849584639,0.8380022124485729,0.26066542768960355
0.3292026181091573,0.6555806657404831,0.9220686663991426,0.2027583343210302
0.2574399585465763,0.8965569506124323,0.8437964343674977,0.2952111426497992
0.3206728075381632,0.6839962080503925,0.8595391158424677,0.17853304005392928
0.5412696714850753,0.08318444408654702,0.32757715809507437,0.381676016672283
0.3898235551573002,0.8022648554131359,0.8895357103890937,0.2560599468869788
0.36092539969590903,0.7879620308241009,0.8423110677135116,0.23120138380654093
0.3957233088346277,0.8416318885243934,0.7574316653468887,0.24801854485107222
0.41702626283302596,0.9199989000797737,0.9116494149695299,0.22310991755739984
0.6446100047665768,0.3010827615028562,0.6061102905362977,0.046904038713492135
0.3497340626161403,0.7783681341193429,0.8800931573987508,0.20259651543905477
0.5602761273350549,0.7235302507890065,0.8078289181554567,0.1653825404840953
0.6546872172579429,0.2018988614231173,0.3171575532094868,0.2637988748630522
0.3315227351540225,0.7080380373375922,0.7570686242358204,0.2806115535259558
0.6235601643784108,0.4140844566592361,0.46904350892295377,0.29464606477254773
0.6000854651187675,0.48023671433703274,0.7561917154311643,0.14350061298241878
0.31426354519704663,0.8579193596759381,0.8289002837379063,0.29449249716154746
0.3239468329682138,0.6495091998739506,0.7836590800375305,0.24464789025340122
0.34431087685084133,0.5898267971764077,0.8439963160262864,0.23476601149867682
0.4786686695671855,0.8296168486673519,0.796637591377537,0.23410323428646285
0.6867168758335457,0.37960065257949005,0.2748506924827113,0.2508438918819712
0.690657870948087,0.43110402401999615,0.5990356673443245,0.24227800482894368
0.36251325219191916,0.5521422310834887,0.7253123199264251,0.1937367517717249
0.5429611969733223,0.6614946428147581,0.7271988668392524,0.13057324064107123
0.6200648857991888,0.5697368145484798,0.8328358042198566,0.25367096975605985
0.3620502941909724,0.860581297469635,0.9387368170861297,0.3385195977404381
0.6740402649737067,0.33142894564651837,0.518211688678379,0.3116309123440984
0.487887994490192,0.7755752157700775,0.9285374119709576,0.20608066731725333
0.6120407176604962,0.8069387696997888,0.868460057936176,0.16915677307902954
0.47470711975663604,0.8880450667908252,0.8974485672424934,0.24164802499521215
0.7104391730666433,0.44620460400266504,0.3257858759638045,0.23755290734926998
0.45981067675517373,0.765580839174871,0.8996929544826895,0.17527775898683606
0.4583988490835118,0.8859607042779033,0.944062577387414,0.2746246971818675
0.2799938025510851,0.668974678009874,0.8177119739357962,0.26143080484795894
0.3012149218795789,0.6893789948020685,0.8236039415987899,0.21861370807265407
0.5608678702795594,0.678464371132804,0.569065001542212,0.2711308687741022
0.4284509999888861,0.839838728750691,0.7162296075161054,0.24871537120159787
0.2634444087459431,0.6052457841542869,0.8569082649408969,0.22422244804783953
0.301977155254176,0.6885606171847749,0.9303230733528538,0.21756430768041018
0.5083204315416653,0.9269825596004125,0.8190475707145919,0.2152544657360148
0.5073708577043299,0.0,0.0,0.08814245178316432
0.6804032783238072,0.42719009675103525,0.20572885054195011,0.27282621220244907
0.535535346520813,0.0,0.4591480899830085,0.3173035362378612
0.62353023753563,0.7176504088917539,0.6967056575720361,0.24519386840204194
0.6735249072250633,0.6506418095801434,0.42024832162142245,0.24728345192259232
0.4056228230123961,0.8363802422247314,0.8811247609793883,0.21885794943001702
0.43125734032441104,0.8339297507243001,0.8355827658875183,0.20620596246076994
0.43082623626665817,0.7510082464203647,0.9529573943087672,0.2119946749394871
0.3557082300734315,0.7307639931319683,0.8769962475373803,0.26410746186724016
0.3683664625884799,0.657355294451414,0.7539215255214629,0.20902698852016888
0.6698970796142815,0.4983706986127264,0.6024989597857777,0.19584538869207124
0.6525938452567136,0.3761414337590131,0.5275330866284034,0.13916843969940051
0.6064021121544072,0.7188603658063416,0.7349239541497163,0.18666315098713637
0.3976701602887629,0.8084039060627658,0.7880103915854595,0.13134405585572168
0.3665865795576176,0.7760800213581668,0.8506643539929559,0.19612707380738958
0.3521721433189067,0.5618790719518243,0.7754735350125548,0.18197961012282682
0.4687131285455212,0.7408578331620801,0.909379009035531,0.25577954221186927
0.46555477130507705,0.7454039695134265,0.8981952595407656,0.1567959033331442
0.5079886997814897,0.850604123010789,0.9198148986608367,0.2249642946953822
0.37458105522513807,0.8055258254857739,0.7427140078200661,0.13275467009052705
0.3229740753451249,0.8530362885413684,0.9018845128715611,0.23537361056979617
0.3664239948591182,0.9198998648443519,0.9168185016090351,0.25467261223485477
0.3996280885507303,0.6727881687397677,0.7594634508383361,0.27037657350668737
0.6850433418363187,0.5700691492243625,0.4179857259580555,0.23983668777728845
0.31135293560436733,0.6898432997352504,0.8032523461491484,0.21825586149931098
0.3167380213181379,0.6731695812834295,0.7559599193542104,0.168434218280116
0.48767843592082416,0.7207037965788994,0.6989044114519163,0.17268788215730402
0.43683328136560967,0.7778882132877158,0.9694474661540484,0.2951848793846979
0.44831895289724266,0.0,0.5926916867531344,0.26297629078737245
0.34842703190732105,0.6984431845357978,0.894774653638855,0.2223437633895189
0.7077189591459212,0.3521413848036131,0.5492750777798479,0.3034861516395917
0.48881343501786706,0.6922748427157739,0.8065386127986266,0.1828928030794752
0.3012549149246017,0.9083564915545815,0.8450359861646711,0.2438326677318871
0.4151469450156316,0.9534565301716315,0.9305259004490107,0.2114211193787649
0.3496400479975955,0.5929387169716139,0.8883654868666379,0.1968168530353529
0.3934856877533543,0.7332523343457311,0.6929821370026971,0.25444973235254564
0.527069996356208,0.7499620101388975,0.8953574153823544,0.20476111819086895
0.3978454227738929,0.7473024188228352,0.832308658853434,0.1896905604110689
0.5724870728298923,0.8940222998160596,0.927661302549459,0.21425688066140774
0.30558903584030184,0.8630733171875462,0.957290591893529,0.258952305403292
0.4878743095894799,0.6975669876339652,0.8875979958441902,0.1561269186496338
0.28749389240886936,0.659637255555101,0.6680997660659505,0.1413752615955352
0.5774912321455244,0.9340542201700883,0.8807895019481633,0.20072028224155797
0.26615412127437266,0.8578490687231259,0.7234137237240821,0.2202707288399227
0.5656763872636899,0.8079929978241075,0.6829713416630492,0.23412994089251993
0.6126779398984157,0.8587365632028179,0.8201110417451094,0.22510996249078097
0.4622739417585264,0.8753092030465007,0.8843206206640573,0.1781599835175648
0.6969867443140322,0.06339116205601847,0.39872279436649816,0.06994937941364054
0.3788584660008332,0.7297873346446165,0.9378228627072223,0.2133362000142066
0.341234405065834,0.5348742073879262,0.7951848224279233,0.17569566887076193
0.30948293144326317,0.710813493568021,0.7963101555451902,0.3390091363021231
0.6394849348778824,0.45695815908473025,0.6972370060190747,0.25446282789609664
0.29833527466859927,0.37862250492855976,0.17033106742296722,0.0312475085536148
0.48049662880876254,0.3648577535623506,0.7571360248346296,0.155820472748056
0.2896981833894384,0.8450396622583023,0.7861834406114766,0.22302038090729098
0.6368364098804394,0.3388624968365499,0.4810878734975915,0.15319025473384784
0.4173823585569113,0.7767882333440956,0.6840090640677601,0.2354882314034482
0.550719758875316,0.0,0.21541492409951557,0.0036858570263377244
0.4195367364061823,0.8586425480873779,0.814611503531361,0.2175335975566679
0.43742642838868706,0.3329017033164592,0.6140547392411315,0.19644203043339037
0.6349166001871392,0.32917623716919664,0.4360901221825,0.29681889068979334
0.699115287561738,0.3032833324146398,0.5933813340765195,0.10613228018931842
0.3666993781240733,0.8400795331815384,0.8458213432707185,0.20510267413256117
0.46544665794967854,0.7163821261626447,0.6654901691077952,0.23587791416288112
0.6793130425366758,0.26050781047021554,0.5082600425234833,0.3016654514151243
0.6845441239013571,0.0,0.3657617313331988,0.22814529084358715
0.5789971307885343,0.4087271512069812,0.6796038228966019,0.2851466019056774
0.47694797196734684,0.5719134984759104,0.7236088950162319,0.2334355552421825
0.6381565241469512,0.49974149098323695,0.4286422745931612,0.2957855958694141
0.4084793535423952,0.5858718591651787,0.8180789843860383,0.26929569268010617
0.6977055653690649,0.2645572907349264,0.29077787194526583,0.2279664885983722
0.265892008901634,0.8490418711510231,0.8259762880259676,0.22796933264081887
