C,L,N,D,Q
2.511886431509572e+19,3.0555331974231192,0.5949705744760806,4.289443730209745,0.7878867385942401
3.162277660168379e+19,2.9978098555652535,0.7193850185627931,4.240363570125693,0.8556348248778428
3.981071705534986e+19,2.940015516982509,0.8818164031439839,4.092587119411362,0.9362751816134273
5.011872336272715e+19,2.881755460680724,1.0491347357559715,4.1674406732515425,1.0
6.309573444801943e+19,2.8259570369128126,1.1395247533613322,4.9907059383413,0.9999999999999997
7.94328234724279e+19,2.7731731343855532,1.2393398760111098,5.96194522559336,1.0
1e+20,2.7232023180713867,1.3497304422152476,7.10424969083591,1.0
1.2589254117941713e+20,2.6758571794989767,1.4719996016422607,8.443576522626604,1.0
1.5848931924611108e+20,2.630963418058015,1.6076249957240578,10.008977460307271,1.0
1.995262314968883e+20,2.5883589862172434,1.7582817334547445,11.832839902658595,1.0
2.5118864315095718e+20,2.547893293329394,1.925868745471156,13.95113909484818,0.9999999999999999
3.1622776601683794e+20,2.5094264629293725,2.1125386440856984,16.403706863488534,1.0
3.9810717055349857e+20,2.4728286386775826,2.320731284877485,19.234524872880105,1.0
5.0118723362727146e+20,2.437979334370551,2.553210463102225,22.492058730132225,1.0
6.309573444801943e+20,2.4047668237465527,2.8131071004435495,26.229626851939397,1.0
7.943282347242789e+20,2.3730875661613657,3.1039653197395785,30.5058430772381,1.0
1e+21,2.342845664600725,3.4297967527260638,35.385115655441325,0.9999999999999999
1.2589254117941712e+21,2.3139523529278856,3.795138505971315,40.93825609630286,1.0
1.584893192461111e+21,2.2863255097268476,4.2051221008054736,47.24316119447967,1.0
1.995262314968883e+21,2.2598891965789565,4.665547103601913,54.3856424361725,1.0
2.5118864315095717e+21,2.2345732190828405,5.182966198936441,62.46036962811185,0.9999999999999999
3.1622776601683794e+21,2.2103127093731825,5.764780879124853,71.57195735019738,0.9999999999999999
3.9810717055349854e+21,2.187047729291413,6.419349637265525,81.8362015278411,1.0
5.011872336272714e+21,2.1647228936927085,7.156107966592605,93.38150468536368,1.0
6.309573444801943e+21,2.143287013626049,7.985705367424698,106.35046631652826,1.0
7.943282347242789e+21,2.122692759291281,8.920159603748676,120.90167039779818,1.0
1e+22,2.1028963427602365,9.973033012851232,137.21165417951138,1.0
1.2589254117941714e+22,2.083857220455568,11.159624295482189,155.47719220209322,1.0
1.584893192461111e+22,2.06553781532363,12.497196996481772,175.9176852999395,1.0
1.995262314968883e+22,2.04790325853257,14.005224901823693,198.77797227056715,1.0
2.511886431509572e+22,2.030921150390808,15.705679762064202,224.33131369628646,0.9999999999999999
3.1622776601683792e+22,2.014561340030943,17.623346940082968,252.88282489906592,1.0
3.981071705534985e+22,1.9987957232543807,19.78618202227604,284.7732892662115,1.0
5.011872336272714e+22,1.9835980577942383,22.22573595191642,320.38308238493494,1.0
6.309573444801943e+22,1.9689437951366844,24.977593615084817,360.13710194081716,0.9999999999999998
7.94328234724279e+22,1.954809927948878,28.081900813944223,404.50981737426207,1.0
1.0000000000000001e+23,1.9411748520971142,31.58395463726522,454.0309477848309,1.0
1.2589254117941714e+23,1.9280182422015306,35.5348585868445,509.2919421937288,1.0
1.584893192461111e+23,1.91532093966166,39.99226543167558,570.9531528336476,1.0
1.9952623149688827e+23,1.903064852097185,45.02122971271483,639.751632382972,1.0
2.5118864315095718e+23,1.8912328631766624,50.695141525678835,716.5102223892513,1.0
3.162277660168379e+23,1.879808751849793,57.09680960576327,802.1472798717963,0.9999999999999999
3.9810717055349855e+23,1.8687771200522962,64.31965977746029,897.6878561314142,0.9999999999999998
5.011872336272715e+23,1.8581233280130314,72.46910459690477,1004.2759270058015,0.9999999999999999
6.309573444801942e+23,1.8478334363577946,81.6640962392879,1123.187938210996,1.0
7.94328234724279e+23,1.8378941542706522,92.03881504279235,1255.8487861520268,1.0
1e+24,1.8282927930397637,103.74469328015586,1403.8480353704686,1.0
1.2589254117941714e+24,1.8190172243789298,116.95258236158824,1568.9595946021502,0.9999999999999998
1.584893192461111e+24,1.8100558429773983,131.85523674721338,1753.1631398075629,1.0
